# Latitude, Longitude, COTotalColumn,COMixingRatio surface,COMixingRatio 900hPa,COMixingRatio 800hPa,COMixingRatio 700hPa,COMixingRatio 600hPa, COMixingRatio 500hPa,COMixingRatio 400hPa,COMixingRatio 300hPa,COMixingRatio 200hPa,COMixingRatio 100hPa,RetrievedSurfaceTemperature 
-78.1909,86.4814,6.03255e+17,63.7782,nan,nan,nan,65.6954,57.5457,48.9972,47.3543,28.6117,16.1639,233.048
-78.0651,87.3034,3.71224e+17,36.0598,nan,nan,nan,34.8119,32.6903,31.3568,29.0188,18.5807,13.5146,231.067
-77.9371,88.1084,2.69663e+17,26.6938,nan,nan,nan,24.829,22.3236,21.1565,19.5334,13.6568,11.8222,232.162
-77.8066,88.8984,3.252e+17,31.651,nan,nan,nan,30.228,28.1443,27.1717,24.903,16.3383,12.7791,232.594
-77.8505,85.1282,5.60897e+17,65.9051,nan,nan,nan,67.3023,50.3078,39.4655,39.6808,26.6656,15.9945,232.136
-77.7264,85.9547,3.84328e+17,37.8229,nan,nan,nan,36.3623,33.5219,31.5616,29.5601,19.1565,13.7088,231.655
-77.6,86.7648,2.87859e+17,28.2145,nan,nan,nan,26.0776,23.9341,22.8616,21.0732,14.4626,12.0946,232.649
-77.471,87.5603,3.02491e+17,28.6565,nan,nan,nan,26.7856,25.5031,25.1899,22.9744,15.1586,12.2902,233.972
-77.4889,83.797,4.52259e+17,41.6115,nan,nan,nan,40.6271,39.733,38.8932,35.728,21.5212,14.2231,233.405
-77.3661,84.6305,2.9107e+17,27.837,nan,nan,nan,25.0034,23.7867,23.0159,21.0699,14.3354,11.9957,232.344
-77.2407,85.4479,3.21497e+17,30.7313,nan,nan,nan,28.3225,26.8957,26.0858,23.9652,15.937,12.5905,231.592
-77.1127,86.2511,4.1202e+17,38.5163,nan,nan,nan,37.289,36.3924,35.712,32.6138,20.0042,13.8322,234.024
-76.9793,83.318,4.08362e+17,37.6816,nan,nan,nan,35.5186,34.1924,33.3299,31.2243,19.8277,13.817,228.74
-76.8544,84.1453,3.4159e+17,32.0907,nan,nan,nan,29.2464,28.2242,27.4241,25.2493,16.6313,12.8101,231.944
-76.7267,84.9586,4.29358e+17,40.0857,nan,nan,nan,38.6381,37.179,36.0424,33.3117,20.6196,14.0235,232.1
-76.9029,81.7632,4.25327e+17,46.0007,nan,nan,nan,42.6431,33.1802,28.5533,28.4506,20.4167,14.3166,234.89
-76.781,82.6131,4.18992e+17,40.2752,nan,nan,nan,37.8701,34.4534,32.1935,30.6585,20.0878,13.9576,233.332
-76.6564,83.4473,3.97815e+17,36.563,nan,nan,nan,34.1796,33.2719,32.447,29.93,18.9836,13.5382,232.614
-76.5288,84.2676,4.31822e+17,42.9244,nan,nan,nan,41.0703,36.2918,33.24,31.7691,20.7671,14.1817,234.474
